fy_year,vintage,region,value
2055,2025-01,NSW,8.71
2056,2025-01,NSW,7.86
2057,2025-01,NSW,8.66
2058,2025-01,NSW,8.28
2059,2025-01,NSW,8.2
2060,2025-01,NSW,8.09
2025,2025-01,QLD,9.83
2026,2025-01,QLD,8.46
2027,2025-01,QLD,8.08
2028,2025-01,QLD,8.82
2029,2025-01,QLD,9.1
2030,2025-01,QLD,9.08
2031,2025-01,QLD,8.24
2032,2025-01,QLD,6.32
2033,2025-01,QLD,6.54
2034,2025-01,QLD,6.5
2035,2025-01,QLD,6.97
2036,2025-01,QLD,9.01
2037,2025-01,QLD,9.3
2038,2025-01,QLD,8.7
2039,2025-01,QLD,8.37
2040,2025-01,QLD,8.09
2041,2025-01,QLD,8.47
2042,2025-01,QLD,7.79
2043,2025-01,QLD,7.57
2044,2025-01,QLD,6.59
2045,2025-01,QLD,6.3
2046,2025-01,QLD,6.15
2047,2025-01,QLD,5.91
2048,2025-01,QLD,5.21
2049,2025-01,QLD,4.81
2050,2025-01,QLD,6.47
2051,2025-01,QLD,6.56
2052,2025-01,QLD,6.37
2053,2025-01,QLD,7.08
2054,2025-01,QLD,7.08
2055,2025-01,QLD,7.08
2056,2025-01,QLD,6.85
2057,2025-01,QLD,7.44
2058,2025-01,QLD,7.11
2059,2025-01,QLD,7.69
2060,2025-01,QLD,7.72
2025,2025-01,SA,9.85
2026,2025-01,SA,7.85
2027,2025-01,SA,9.11
2028,2025-01,SA,5.17
2029,2025-01,SA,5.39
2030,2025-01,SA,5.53
2031,2025-01,SA,5.69
2032,2025-01,SA,6.01
2033,2025-01,SA,6.56
2034,2025-01,SA,6.59
2035,2025-01,SA,6.57
2036,2025-01,SA,8.01
2037,2025-01,SA,8.59
2038,2025-01,SA,8.61
2039,2025-01,SA,9.03
2040,2025-01,SA,9.68
2041,2025-01,SA,9.16
2042,2025-01,SA,6.48
2043,2025-01,SA,6.09
2044,2025-01,SA,7.83
2045,2025-01,SA,6.18
2046,2025-01,SA,6.52
2047,2025-01,SA,6.4
2048,2025-01,SA,9.77
2049,2025-01,SA,8.62
2050,2025-01,SA,7.95
2051,2025-01,SA,7.97
2052,2025-01,SA,9.22
2053,2025-01,SA,7.77
2054,2025-01,SA,8.62
2055,2025-01,SA,8.91
2056,2025-01,SA,9.79
2057,2025-01,SA,9.56
2058,2025-01,SA,9.75
2059,2025-01,SA,9.62
2060,2025-01,SA,10.07
2025,2025-01,VIC,2.36
2026,2025-01,VIC,2.38
2027,2025-01,VIC,2.32
2028,2025-01,VIC,2.39
2029,2025-01,VIC,2.68
2030,2025-01,VIC,2.54
2031,2025-01,VIC,2.46
2032,2025-01,VIC,2.11
2033,2025-01,VIC,2.24
2034,2025-01,VIC,2.07
2035,2025-01,VIC,2.07
2036,2025-01,VIC,1.99
2037,2025-01,VIC,2.22
2038,2025-01,VIC,2.19
2039,2025-01,VIC,2.18
2040,2025-01,VIC,2.06
2041,2025-01,VIC,2.07
2042,2025-01,VIC,2.04
2043,2025-01,VIC,2.04
2044,2025-01,VIC,1.95
2045,2025-01,VIC,2.01
2046,2025-01,VIC,2.01
2047,2025-01,VIC,1.87
2048,2025-01,VIC,2.28
2049,2025-01,VIC,2.28
2050,2025-01,VIC,2.17
2051,2025-01,VIC,2.24
2052,2025-01,VIC,2.05
2053,2025-01,VIC,2.18
2054,2025-01,VIC,2.2
2055,2025-01,VIC,2.22
2056,2025-01,VIC,2.16
2057,2025-01,VIC,2.23
2058,2025-01,VIC,2.2
2059,2025-01,VIC,2.2
2060,2025-01,VIC,2.11
2025,2025-01,TAS,6.62
2026,2025-01,TAS,5.66
2027,2025-01,TAS,4.02
2028,2025-01,TAS,3.98
2029,2025-01,TAS,3.95
2030,2025-01,TAS,2.8
2031,2025-01,TAS,2.6
2032,2025-01,TAS,3.0
2033,2025-01,TAS,2.26
2034,2025-01,TAS,2.16
2035,2025-01,TAS,2.57
2036,2025-01,TAS,8.45
2037,2025-01,TAS,8.63
2038,2025-01,TAS,9.31
2039,2025-01,TAS,7.78
2040,2025-01,TAS,11.84
2041,2025-01,TAS,11.06
2042,2025-01,TAS,12.63
2043,2025-01,TAS,12.43
2044,2025-01,TAS,10.83
2045,2025-01,TAS,8.44
