fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2049,2024-08,SA,4h,2025,True,base,-78625.652
2050,2024-08,SA,4h,2025,True,base,-75813.778
2051,2024-08,SA,4h,2025,True,base,-75785.622
2052,2024-08,SA,4h,2025,True,base,-69442.394
2053,2024-08,SA,4h,2025,True,base,-71174.214
2054,2024-08,SA,4h,2025,True,base,-71022.312
2055,2024-08,SA,4h,2025,True,base,-74249.369
2056,2024-08,SA,4h,2025,True,base,-70081.473
2057,2024-08,SA,4h,2025,True,base,-72314.874
2058,2024-08,SA,4h,2025,True,base,-73411.724
2059,2024-08,SA,4h,2025,True,base,-72212.238
2060,2024-08,SA,4h,2025,True,base,-70211.447
2025,2024-08,VIC,1h,2025,True,base,6633.95
2026,2024-08,VIC,1h,2025,True,base,-2666.378
2027,2024-08,VIC,1h,2025,True,base,-3791.45
2028,2024-08,VIC,1h,2025,True,base,-6327.762
2029,2024-08,VIC,1h,2025,True,base,-10697.08
2030,2024-08,VIC,1h,2025,True,base,-9926.171
2031,2024-08,VIC,1h,2025,True,base,-12181.579
2032,2024-08,VIC,1h,2025,True,base,-16083.761
2033,2024-08,VIC,1h,2025,True,base,-14710.101
2034,2024-08,VIC,1h,2025,True,base,-15404.182
2035,2024-08,VIC,1h,2025,True,base,-14827.216
2036,2024-08,VIC,1h,2025,True,base,-13544.453
2037,2024-08,VIC,1h,2025,True,base,-14727.955
2038,2024-08,VIC,1h,2025,True,base,-15120.053
2039,2024-08,VIC,1h,2025,True,base,-15194.18
2040,2024-08,VIC,1h,2025,True,base,-17866.938
2041,2024-08,VIC,1h,2025,True,base,-17091.634
2042,2024-08,VIC,1h,2025,True,base,-15182.371
2043,2024-08,VIC,1h,2025,True,base,-13972.164
2044,2024-08,VIC,1h,2025,True,base,-15313.364
2045,2024-08,VIC,1h,2025,True,base,-20164.698
2046,2024-08,VIC,1h,2025,True,base,-20129.848
2047,2024-08,VIC,1h,2025,True,base,-19667.916
2048,2024-08,VIC,1h,2025,True,base,-20204.327
2049,2024-08,VIC,1h,2025,True,base,-20313.637
2050,2024-08,VIC,1h,2025,True,base,-19787.618
2051,2024-08,VIC,1h,2025,True,base,-18963.728
2052,2024-08,VIC,1h,2025,True,base,-18153.628
2053,2024-08,VIC,1h,2025,True,base,-18629.824
2054,2024-08,VIC,1h,2025,True,base,-19168.161
2055,2024-08,VIC,1h,2025,True,base,-18057.319
2056,2024-08,VIC,1h,2025,True,base,-18889.457
2057,2024-08,VIC,1h,2025,True,base,-19147.162
2058,2024-08,VIC,1h,2025,True,base,-18078.032
2059,2024-08,VIC,1h,2025,True,base,-18871.435
2060,2024-08,VIC,1h,2025,True,base,-18749.327
2025,2024-08,VIC,2h,2025,True,base,-582.622
2026,2024-08,VIC,2h,2025,True,base,-11245.53
2027,2024-08,VIC,2h,2025,True,base,-14480.72
2028,2024-08,VIC,2h,2025,True,base,-20339.59
2029,2024-08,VIC,2h,2025,True,base,-27418.159
2030,2024-08,VIC,2h,2025,True,base,-24516.647
2031,2024-08,VIC,2h,2025,True,base,-28261.654
2032,2024-08,VIC,2h,2025,True,base,-34702.698
2033,2024-08,VIC,2h,2025,True,base,-33471.305
2034,2024-08,VIC,2h,2025,True,base,-34582.91
2035,2024-08,VIC,2h,2025,True,base,-32827.129
2036,2024-08,VIC,2h,2025,True,base,-31559.455
2037,2024-08,VIC,2h,2025,True,base,-31822.785
2038,2024-08,VIC,2h,2025,True,base,-34621.404
2039,2024-08,VIC,2h,2025,True,base,-34270.341
2040,2024-08,VIC,2h,2025,True,base,-38559.013
2041,2024-08,VIC,2h,2025,True,base,-36814.995
2042,2024-08,VIC,2h,2025,True,base,-34333.742
2043,2024-08,VIC,2h,2025,True,base,-32611.472
2044,2024-08,VIC,2h,2025,True,base,-33334.814
2045,2024-08,VIC,2h,2025,True,base,-45863.132
2046,2024-08,VIC,2h,2025,True,base,-46987.511
2047,2024-08,VIC,2h,2025,True,base,-45480.701
2048,2024-08,VIC,2h,2025,True,base,-45747.355
2049,2024-08,VIC,2h,2025,True,base,-46633.504
2050,2024-08,VIC,2h,2025,True,base,-44378.854
2051,2024-08,VIC,2h,2025,True,base,-43637.309
2052,2024-08,VIC,2h,2025,True,base,-42013.615
2053,2024-08,VIC,2h,2025,True,base,-41697.69
2054,2024-08,VIC,2h,2025,True,base,-42910.868
2055,2024-08,VIC,2h,2025,True,base,-41964.298
2056,2024-08,VIC,2h,2025,True,base,-42539.389
2057,2024-08,VIC,2h,2025,True,base,-42917.719
2058,2024-08,VIC,2h,2025,True,base,-41748.976
2059,2024-08,VIC,2h,2025,True,base,-42989.422
2060,2024-08,VIC,2h,2025,True,base,-41514.877
2025,2024-08,VIC,4h,2025,True,base,-27298.871
2026,2024-08,VIC,4h,2025,True,base,-34666.263
2027,2024-08,VIC,4h,2025,True,base,-43089.14
2028,2024-08,VIC,4h,2025,True,base,-55560.589
2029,2024-08,VIC,4h,2025,True,base,-68888.0
2030,2024-08,VIC,4h,2025,True,base,-59942.13
2031,2024-08,VIC,4h,2025,True,base,-65288.737
2032,2024-08,VIC,4h,2025,True,base,-76134.957
2033,2024-08,VIC,4h,2025,True,base,-74068.127
2034,2024-08,VIC,4h,2025,True,base,-77679.42
2035,2024-08,VIC,4h,2025,True,base,-73483.291
2036,2024-08,VIC,4h,2025,True,base,-73279.662
2037,2024-08,VIC,4h,2025,True,base,-74246.82
2038,2024-08,VIC,4h,2025,True,base,-76504.343
