fy_quarter,vintage,region,Energy_TWA,Solar_DWA_PreCurt,Wind_DWA_PreCurt,Solar_DWA_PostCurt0,Wind_DWA_PostCurt0,Solar_DWA_PostCurtLGC,Wind_DWA_PostCurtLGC,LGC,Spread_4hr,Spread_2hr,Spread_1hr,Spread_Half-hourly
FY2047-Q2,Jan2025,NSW,56.12,30.7,52.37,34.68,55.4,34.11,54.93,1.1,159.62,218.09,300.72,405.55
FY2047-Q3,Jan2025,NSW,122.93,81.46,121.03,85.9,124.49,84.6,123.56,1.1,159.62,218.09,300.72,405.55
FY2047-Q4,Jan2025,NSW,154.69,92.65,137.13,95.06,138.76,94.51,138.34,1.1,159.62,218.09,300.72,405.55
FY2048-Q1,Jan2025,NSW,140.87,69.01,117.43,73.72,121.7,72.65,120.87,1.1,158.63,217.98,307.19,444.85
FY2048-Q2,Jan2025,NSW,51.22,29.41,48.29,32.54,50.66,31.82,50.1,1.1,158.63,217.98,307.19,444.85
FY2048-Q3,Jan2025,NSW,115.63,79.14,113.05,82.99,115.98,81.77,115.12,1.1,158.63,217.98,307.19,444.85
FY2048-Q4,Jan2025,NSW,153.29,102.22,136.84,105.39,139.02,105.07,138.86,1.1,158.63,217.98,307.19,444.85
FY2049-Q1,Jan2025,NSW,146.13,67.85,117.26,71.89,121.15,71,120.4,1.1,159.96,218.06,298.36,386.87
FY2049-Q2,Jan2025,NSW,51.86,29.53,49.28,33.21,51.93,32.46,51.38,1.1,159.96,218.06,298.36,386.87
FY2049-Q3,Jan2025,NSW,114.32,78.09,110.17,82.49,113.37,81.34,112.6,1.1,159.96,218.06,298.36,386.87
FY2049-Q4,Jan2025,NSW,149.18,95.54,134.51,97.73,135.95,97.16,135.53,1.1,159.96,218.06,298.36,386.87
FY2050-Q1,Jan2025,NSW,137.94,67.63,111.71,71.51,115.29,70.59,114.52,1.1,155.99,214.29,297.46,433.99
FY2050-Q2,Jan2025,NSW,47.17,27.21,43.53,31.49,46.46,30.75,45.95,1.1,155.99,214.29,297.46,433.99
FY2050-Q3,Jan2025,NSW,115.4,76.21,112.11,80.98,115.97,79.69,114.98,1.1,155.99,214.29,297.46,433.99
FY2050-Q4,Jan2025,NSW,148.69,97.62,134.86,100.36,136.67,99.72,136.22,1.1,155.99,214.29,297.46,433.99
FY2051-Q1,Jan2025,NSW,138.86,66.38,112.38,70.29,116.15,69.51,115.41,1.1,158.49,217.26,298.95,435.63
FY2051-Q2,Jan2025,NSW,46.99,26.66,43.35,31.17,46.47,30.45,45.97,1.1,158.49,217.26,298.95,435.63
FY2051-Q3,Jan2025,NSW,114.33,74,111.67,78.97,115.8,77.51,114.67,1.1,158.49,217.26,298.95,435.63
FY2051-Q4,Jan2025,NSW,148.7,97.12,134.93,99.96,136.91,99.15,136.3,1.1,158.49,217.26,298.95,435.63
FY2052-Q1,Jan2025,NSW,138.34,65.03,113.81,70.36,118.72,68.88,117.51,1.1,160,220.17,311.53,405.61
FY2052-Q2,Jan2025,NSW,43.76,22.77,40.62,26.21,43.32,25.61,42.82,1.1,160,220.17,311.53,405.61
FY2052-Q3,Jan2025,NSW,113.27,70.88,109.6,75.87,113.76,74.26,112.52,1.1,160,220.17,311.53,405.61
FY2052-Q4,Jan2025,NSW,148.35,91.97,133.73,95.76,136.49,95.15,136.07,1.1,160,220.17,311.53,405.61
FY2053-Q1,Jan2025,NSW,143.53,64.84,114.52,68.99,118.6,68.07,117.78,1.1,158.51,217.09,297.7,387.42
FY2053-Q2,Jan2025,NSW,43.74,23.6,40.86,27.71,43.82,27.05,43.37,1.1,158.51,217.09,297.7,387.42
FY2053-Q3,Jan2025,NSW,108.77,70.73,105.66,75.66,109.69,74.49,108.8,1.1,158.51,217.09,297.7,387.42
FY2053-Q4,Jan2025,NSW,148.13,93.41,133.59,96.46,135.69,95.71,135.12,1.1,158.51,217.09,297.7,387.42
FY2054-Q1,Jan2025,NSW,131.05,65.58,110.67,69.73,114.63,68.97,113.95,1.1,158.34,214.24,292.55,391.45
FY2054-Q2,Jan2025,NSW,47.32,23.17,44.77,27.37,48.01,26.67,47.48,1.1,158.34,214.24,292.55,391.45
FY2054-Q3,Jan2025,NSW,117.09,69.92,111.96,74.63,116.2,73.63,115.33,1.1,158.34,214.24,292.55,391.45
FY2054-Q4,Jan2025,NSW,151.35,94.56,135.73,97.53,137.8,96.72,137.16,1.1,158.34,214.24,292.55,391.45
FY2055-Q1,Jan2025,NSW,133.37,68.52,111.78,73,115.93,72.01,115.03,1.1,159.97,220.98,310.08,410.45
FY2055-Q2,Jan2025,NSW,44.48,24.8,40.82,29.59,44.06,28.82,43.59,1.1,159.97,220.98,310.08,410.45
FY2055-Q3,Jan2025,NSW,112.94,76.23,109.18,81.06,113.21,80.17,112.45,1.1,159.97,220.98,310.08,410.45
FY2055-Q4,Jan2025,NSW,157.8,95.22,141.13,98.03,143.15,97.42,142.64,1.1,159.97,220.98,310.08,410.45
FY2056-Q1,Jan2025,NSW,133.03,75.13,112.8,80.43,117.21,79.05,116.26,1.1,154.59,210.42,290.38,385.01
FY2056-Q2,Jan2025,NSW,43.26,22.25,39.57,25.87,42.38,25.26,41.88,1.1,154.59,210.42,290.38,385.01
FY2056-Q3,Jan2025,NSW,115.2,67.28,110.75,71.88,114.77,70.09,113.4,1.1,154.59,210.42,290.38,385.01
FY2056-Q4,Jan2025,NSW,148.9,95.33,135.45,98.76,137.9,98.36,137.63,1.1,154.59,210.42,290.38,385.01
FY2057-Q1,Jan2025,NSW,136.6,66.86,113.1,70.94,116.87,70.16,116.25,1.1,158.27,218.62,312.38,444.76
FY2057-Q2,Jan2025,NSW,43.82,22.85,40.29,27.31,43.57,26.69,43.11,1.1,158.27,218.62,312.38,444.76
FY2057-Q3,Jan2025,NSW,105.88,68.09,102.19,72.32,105.74,71.45,104.93,1.1,158.27,218.62,312.38,444.76
FY2057-Q4,Jan2025,NSW,161.95,97.56,145.94,99.98,147.83,99.38,147.29,1.1,158.27,218.62,312.38,444.76
FY2058-Q1,Jan2025,NSW,130.5,66.32,108.78,70.17,112.36,69.44,111.74,1.1,155.36,213.91,291.42,396.8
FY2058-Q2,Jan2025,NSW,44.93,22.5,40.85,26.76,44.07,26.14,43.56,1.1,155.36,213.91,291.42,396.8
FY2058-Q3,Jan2025,NSW,106.49,66.49,105.57,71.19,109.74,69.97,108.6,1.1,155.36,213.91,291.42,396.8
FY2058-Q4,Jan2025,NSW,160.11,97,139.98,99.72,141.91,98.82,141.19,1.1,155.36,213.91,291.42,396.8
FY2059-Q1,Jan2025,NSW,130.39,69.06,108.64,72.89,112.13,72.15,111.58,1.1,153.63,211.39,297.91,389.89
FY2059-Q2,Jan2025,NSW,43.45,24.34,39.51,28.98,42.64,28.22,42.13,1.1,153.63,211.39,297.91,389.89
FY2059-Q3,Jan2025,NSW,108.31,73.52,103.94,78.4,107.71,77.18,106.81,1.1,153.63,211.39,297.91,389.89
FY2059-Q4,Jan2025,NSW,159.22,98.1,141.47,100.45,143.13,99.73,142.58,1.1,153.63,211.39,297.91,389.89
FY2060-Q1,Jan2025,NSW,134.63,67.71,110.56,72.39,114.9,71.06,113.85,1.1,152.27,207.71,279.27,374.83
FY2060-Q2,Jan2025,NSW,45.46,23.35,39.98,27.46,43.15,26.78,42.63,1.1,152.27,207.71,279.27,374.83
FY2060-Q3,Jan2025,NSW,102.71,67.97,99.04,73.3,102.78,71.53,101.68,1.1,152.27,207.71,279.27,374.83
FY2060-Q4,Jan2025,NSW,153.58,98.03,138.54,101.1,140.77,100.74,140.54,1.1,152.27,207.71,279.27,374.83
FY2025-Q1,Jan2025,QLD,98.56,28.73,108.37,56.98,122.12,35.9,112.11,26.7,197.06,276.1,389.89,531.96
FY2025-Q2,Jan2025,QLD,94.36,48.56,102.27,65.58,110.68,53.88,105.01,26.7,197.06,276.1,389.89,531.96
FY2025-Q3,Jan2025,QLD,113.56,59.93,124.52,65.45,127.64,61.77,125.57,26.7,197.06,276.1,389.89,531.96
FY2025-Q4,Jan2025,QLD,102.59,41.74,105.49,65.01,116.92,50.3,110.13,26.7,197.06,276.1,389.89,531.96
FY2026-Q1,Jan2025,QLD,79.7,16.64,83.47,46.57,100.72,24.67,89.41,20.6,184.35,255.46,368.19,520.41
FY2026-Q2,Jan2025,QLD,100.32,49.93,102.72,69.36,111.72,55.79,105.5,20.6,184.35,255.46,368.19,520.41
FY2026-Q3,Jan2025,QLD,96.39,60.36,102.62,64.96,104.63,61.05,103,20.6,184.35,255.46,368.19,520.41
FY2026-Q4,Jan2025,QLD,97.46,41.49,96.18,59.17,105.27,45.24,98.43,20.6,184.35,255.46,368.19,520.41
FY2027-Q1,Jan2025,QLD,77.31,11.28,80.58,47.83,101.56,21.4,87.81,17.1,180.27,250.24,346.99,440.74
FY2027-Q2,Jan2025,QLD,78.83,29.89,85.02,49.56,96.79,35.85,88.71,17.1,180.27,250.24,346.99,440.74
FY2027-Q3,Jan2025,QLD,87.43,39,92.82,46.77,98.77,40.35,93.73,17.1,180.27,250.24,346.99,440.74
FY2027-Q4,Jan2025,QLD,94.11,39.34,92.09,60.52,103.33,44.96,95.33,17.1,180.27,250.24,346.99,440.74
FY2028-Q1,Jan2025,QLD,76.82,12.21,80.44,42.76,99.23,22.18,88.26,13.9,175.93,249.71,364.48,511.12
FY2028-Q2,Jan2025,QLD,77.37,31.95,85.03,48.53,94.79,36.5,87.98,13.9,175.93,249.71,364.48,511.12
FY2028-Q3,Jan2025,QLD,85.39,46.12,86.33,51.79,90.27,47.95,87.68,13.9,175.93,249.71,364.48,511.12
FY2028-Q4,Jan2025,QLD,91.4,38.24,90.36,53.07,99.51,42.88,92.99,13.9,175.93,249.71,364.48,511.12
FY2029-Q1,Jan2025,QLD,68.7,11.69,70.16,40.51,86.99,21.65,76.78,11.8,177.84,245.47,346.14,482.81
FY2029-Q2,Jan2025,QLD,83.92,29.84,96.18,43.83,107.1,34.2,99.52,11.8,177.84,245.47,346.14,482.81
FY2029-Q3,Jan2025,QLD,84.85,36.53,86.24,44.59,93.12,39.13,88.33,11.8,177.84,245.47,346.14,482.81
FY2029-Q4,Jan2025,QLD,85.84,34.81,82.26,49.55,91.78,39.18,85.47,11.8,177.84,245.47,346.14,482.81
FY2030-Q1,Jan2025,QLD,73.59,12.25,75.07,34.6,91.16,20.39,81.74,10,172.02,247.1,371.66,531.29
FY2030-Q2,Jan2025,QLD,71.54,30.89,75.61,43.25,84.24,35.47,78.89,10,172.02,247.1,371.66,531.29
FY2030-Q3,Jan2025,QLD,80.04,39.54,81.99,49.96,89.35,43.34,84.84,10,172.02,247.1,371.66,531.29
FY2030-Q4,Jan2025,QLD,84.37,35.37,80.8,46.24,88.68,38.36,83.24,10,172.02,247.1,371.66,531.29
FY2031-Q1,Jan2025,QLD,69.12,15.7,69.59,33.31,82.11,21.77,74.42,10,154.83,223.85,330.69,475.19
FY2031-Q2,Jan2025,QLD,66.84,34.3,68.46,44.34,74.12,38.15,70.56,10,154.83,223.85,330.69,475.19
FY2031-Q3,Jan2025,QLD,80.42,46.33,83.37,51.67,87.49,48.24,84.87,10,154.83,223.85,330.69,475.19
FY2031-Q4,Jan2025,QLD,84.54,42.32,82.39,52.09,88.85,44.96,84.32,10,154.83,223.85,330.69,475.19
FY2032-Q1,Jan2025,QLD,69.48,33.73,69.67,38.43,73.29,35.42,70.9,9.5,124.47,174.58,244.88,333.24
FY2032-Q2,Jan2025,QLD,66.58,42.42,68.84,44.3,69.82,42.77,69.05,9.5,124.47,174.58,244.88,333.24
FY2032-Q3,Jan2025,QLD,78.88,50.01,81.06,50.36,81.34,50.05,81.15,9.5,124.47,174.58,244.88,333.24
FY2032-Q4,Jan2025,QLD,98.56,56.74,91.41,58.55,93.12,57.55,92.16,9.5,124.47,174.58,244.88,333.24
FY2033-Q1,Jan2025,QLD,76.18,35.62,75.25,41.74,79.77,38.39,77.15,8.5,127.34,184.59,268.9,370.99
FY2033-Q2,Jan2025,QLD,71.27,48.04,73.05,49.17,73.72,48.24,73.29,8.5,127.34,184.59,268.9,370.99
FY2033-Q3,Jan2025,QLD,86.14,65.26,84.19,65.48,84.3,65.34,84.25,8.5,127.34,184.59,268.9,370.99
FY2033-Q4,Jan2025,QLD,92,60.11,87.53,61.31,88.76,60.27,87.7,8.5,127.34,184.59,268.9,370.99
FY2034-Q1,Jan2025,QLD,96.64,51.61,94.27,60.96,100.16,55.47,96.58,7.4,137.56,191.84,269.02,368.59
FY2034-Q2,Jan2025,QLD,65.77,46.54,66.7,49.18,68.14,47.56,67.23,7.4,137.56,191.84,269.02,368.59
FY2034-Q3,Jan2025,QLD,106.07,79.22,105.1,80.29,105.76,79.69,105.43,7.4,137.56,191.84,269.02,368.59
FY2034-Q4,Jan2025,QLD,112.69,73.97,108.45,76.29,110.27,74.38,108.78,7.4,137.56,191.84,269.02,368.59
FY2035-Q1,Jan2025,QLD,84.51,43.07,84.23,50.74,89.55,46.66,86.78,6.3,134.72,188.83,271.58,384.02
FY2035-Q2,Jan2025,QLD,59.67,36.04,61.79,38.19,63.13,36.83,62.22,6.3,134.72,188.83,271.58,384.02
FY2035-Q3,Jan2025,QLD,102.31,71.31,103.53,72.07,104.16,71.52,103.72,6.3,134.72,188.83,271.58,384.02
FY2035-Q4,Jan2025,QLD,105.06,69.64,96.12,73.25,98.65,71.31,97.21,6.3,134.72,188.83,271.58,384.02
FY2036-Q1,Jan2025,QLD,106.1,47.6,101.35,60,110.31,56.03,107.67,5.3,166.75,238.01,343.83,490.91
FY2036-Q2,Jan2025,QLD,58.2,35.22,57.91,38.15,59.87,36.63,58.89,5.3,166.75,238.01,343.83,490.91
FY2036-Q3,Jan2025,QLD,134.66,99.5,125.31,105.02,129.05,102.8,127.52,5.3,166.75,238.01,343.83,490.91
FY2036-Q4,Jan2025,QLD,128.52,75.38,116.42,81.63,121.42,78.44,118.69,5.3,166.75,238.01,343.83,490.91
FY2037-Q1,Jan2025,QLD,101.88,47.81,95.41,60.87,104.71,56.32,101.72,4.2,167.52,237.12,338.24,482.83
FY2037-Q2,Jan2025,QLD,59.8,33.35,60.38,37.29,63.44,35.67,62.18,4.2,167.52,237.12,338.24,482.83
FY2037-Q3,Jan2025,QLD,132.15,88.71,127.37,93.46,132.05,91.87,130.61,4.2,167.52,237.12,338.24,482.83
FY2037-Q4,Jan2025,QLD,123.44,74.87,112.2,81.07,117.63,78.02,114.87,4.2,167.52,237.12,338.24,482.83
FY2038-Q1,Jan2025,QLD,100.06,49.3,93.11,60.35,101.22,56.98,99.04,3.2,162.24,218.71,300.14,423.84
FY2038-Q2,Jan2025,QLD,60.19,36.8,56.66,40.29,59.28,39.17,58.44,3.2,162.24,218.71,300.14,423.84
FY2038-Q3,Jan2025,QLD,130.29,85.13,121.31,89.06,124.96,87.94,124.15,3.2,162.24,218.71,300.14,423.84
FY2038-Q4,Jan2025,QLD,126.39,81.75,112.13,89.51,117.59,86.49,115.49,3.2,162.24,218.71,300.14,423.84
FY2039-Q1,Jan2025,QLD,106.53,49.65,96.41,59.55,103.79,57.32,102.23,2.1,162.75,229.36,324.39,446.82
FY2039-Q2,Jan2025,QLD,60.09,36.95,58.74,40.11,61.28,39.27,60.65,2.1,162.75,229.36,324.39,446.82
FY2039-Q3,Jan2025,QLD,128.76,92.43,120.98,96.12,124.24,94.98,123.53,2.1,162.75,229.36,324.39,446.82
FY2039-Q4,Jan2025,QLD,129.43,79.11,117.72,83.82,121.73,82.12,120.33,2.1,162.75,229.36,324.39,446.82
FY2040-Q1,Jan2025,QLD,103.39,50.13,96.36,58.16,102.53,57.18,101.81,1.1,160.64,225.42,310.62,417.55
FY2040-Q2,Jan2025,QLD,55.81,31.75,54.9,33.61,56.44,33.27,56.19,1.1,160.64,225.42,310.62,417.55
FY2040-Q3,Jan2025,QLD,130.97,85.96,124.2,88.68,126.46,88.54,126.32,1.1,160.64,225.42,310.62,417.55
FY2040-Q4,Jan2025,QLD,131.89,78.68,118.35,82.71,121.65,82.02,121.04,1.1,160.64,225.42,310.62,417.55
FY2041-Q1,Jan2025,QLD,101.51,49.2,92.2,57.63,98.54,56.43,97.52,1.1,163.37,228.84,321.32,454.54
FY2041-Q2,Jan2025,QLD,59.38,35.4,55.81,37.97,57.74,37.66,57.47,1.1,163.37,228.84,321.32,454.54
FY2041-Q3,Jan2025,QLD,125.02,84.07,117.64,87.29,120.66,86.7,120.25,1.1,163.37,228.84,321.32,454.54
FY2041-Q4,Jan2025,QLD,134.53,83.43,118.01,88.14,121.56,87.51,121.17,1.1,163.37,228.84,321.32,454.54
FY2042-Q1,Jan2025,QLD,96.37,46.47,88.6,54.83,94.8,53.72,93.91,1.1,160.34,215.29,286.96,375.57
FY2042-Q2,Jan2025,QLD,57.51,32.83,56.86,35.73,59.2,35.37,58.87,1.1,160.34,215.29,286.96,375.57
FY2042-Q3,Jan2025,QLD,128.44,83.22,117.27,86.73,120.68,86.04,120.2,1.1,160.34,215.29,286.96,375.57
FY2042-Q4,Jan2025,QLD,137.55,79.75,118.61,83.7,122.22,82.88,121.6,1.1,160.34,215.29,286.96,375.57
FY2043-Q1,Jan2025,QLD,94.83,41.52,88.04,50.14,94.45,49.02,93.6,1.1,161.87,215.75,287.65,385
FY2043-Q2,Jan2025,QLD,55.82,29.78,55.76,33.16,58.44,32.66,57.97,1.1,161.87,215.75,287.65,385
FY2043-Q3,Jan2025,QLD,123.56,77,114.05,81.74,118.11,80.77,117.33,1.1,161.87,215.75,287.65,385
FY2043-Q4,Jan2025,QLD,137.85,75.62,119.57,80.16,123.52,79.32,122.89,1.1,161.87,215.75,287.65,385
FY2044-Q1,Jan2025,QLD,101.17,42.93,94.15,50.8,100.66,50.15,100.13,1.1,157.01,208.94,279.54,384.45
FY2044-Q2,Jan2025,QLD,55.12,28.58,55.08,32.78,58.09,32.16,57.69,1.1,157.01,208.94,279.54,384.45
FY2044-Q3,Jan2025,QLD,124.23,77.77,117,82.27,120.66,81.67,120.19,1.1,157.01,208.94,279.54,384.45
FY2044-Q4,Jan2025,QLD,127.33,74.35,115.31,79.79,119.55,78.71,118.79,1.1,157.01,208.94,279.54,384.45
FY2045-Q1,Jan2025,QLD,98.49,43.93,91.2,52.81,98.02,51.69,97.11,1.1,153.15,206.68,281.86,387.07
FY2045-Q2,Jan2025,QLD,60.04,32.56,57.47,35.85,59.85,35.43,59.45,1.1,153.15,206.68,281.86,387.07
FY2045-Q3,Jan2025,QLD,119.52,76.71,114.78,81.75,118.89,80.72,118.12,1.1,153.15,206.68,281.86,387.07
FY2045-Q4,Jan2025,QLD,128.2,79.94,115.08,84.73,118.5,83.53,117.75,1.1,153.15,206.68,281.86,387.07
FY2046-Q1,Jan2025,QLD,100.78,41.54,93.44,50.89,100.87,49.53,99.74,1.1,155.47,207.28,275.9,379.52
FY2046-Q2,Jan2025,QLD,58.77,35.1,56.31,38.8,58.85,38.21,58.42,1.1,155.47,207.28,275.9,379.52
FY2046-Q3,Jan2025,QLD,120.61,79.45,119.88,84.79,124.64,83.54,123.72,1.1,155.47,207.28,275.9,379.52
FY2046-Q4,Jan2025,QLD,131.62,75.46,118.83,79.58,122.32,78.7,121.61,1.1,155.47,207.28,275.9,379.52
FY2047-Q1,Jan2025,QLD,99.08,44.61,92.02,53.81,98.92,52.59,97.94,1.1,154.49,205.99,283.4,377.39
FY2047-Q2,Jan2025,QLD,54.76,29.13,54.98,32.76,57.71,32.29,57.3,1.1,154.49,205.99,283.4,377.39
FY2047-Q3,Jan2025,QLD,121.9,76.73,119.61,82.02,124.17,80.84,123.29,1.1,154.49,205.99,283.4,377.39
FY2047-Q4,Jan2025,QLD,137.71,77.05,125.74,81.3,129.27,80.28,128.44,1.1,154.49,205.99,283.4,377.39
FY2048-Q1,Jan2025,QLD,96.09,44.29,87.98,53.21,94.79,52.46,94.19,1.1,145.41,193.33,263.19,355.66
FY2048-Q2,Jan2025,QLD,56.23,27.1,55.98,30.68,58.86,30.16,58.5,1.1,145.41,193.33,263.19,355.66
FY2048-Q3,Jan2025,QLD,113.12,76.09,105.89,80.85,109.37,80.48,109.05,1.1,145.41,193.33,263.19,355.66
FY2048-Q4,Jan2025,QLD,127.09,73.56,113.3,78.28,117.26,77.09,116.18,1.1,145.41,193.33,263.19,355.66
FY2049-Q1,Jan2025,QLD,100.65,42.86,91.72,51.17,98.31,49.92,97.27,1.1,142.82,187.57,255.4,344.94
FY2049-Q2,Jan2025,QLD,54.54,30.17,53.63,34.54,56.75,34,56.3,1.1,142.82,187.57,255.4,344.94
FY2049-Q3,Jan2025,QLD,112.09,71.72,105.76,77.03,110.14,75.86,109.25,1.1,142.82,187.57,255.4,344.94
FY2049-Q4,Jan2025,QLD,127.72,75.5,116.64,80.07,120.5,79.45,120.02,1.1,142.82,187.57,255.4,344.94
FY2050-Q1,Jan2025,QLD,104.35,44.68,95.12,55.79,103.24,54.41,102.2,1.1,159.21,213.33,280.07,368.35
FY2050-Q2,Jan2025,QLD,55.2,26.38,50.84,31.05,54.41,30.6,54.03,1.1,159.21,213.33,280.07,368.35
FY2050-Q3,Jan2025,QLD,116.47,71.01,109.39,78.36,115.36,76.75,114.09,1.1,159.21,213.33,280.07,368.35
FY2050-Q4,Jan2025,QLD,137.24,77.18,123.86,82.55,128.92,81.51,128,1.1,159.21,213.33,280.07,368.35
FY2051-Q1,Jan2025,QLD,105.16,42.83,98.44,53.68,106.97,52.34,105.85,1.1,160.92,215.9,306.1,426.4
FY2051-Q2,Jan2025,QLD,50.85,23.34,48.81,27.98,52.3,27.54,51.88,1.1,160.92,215.9,306.1,426.4
FY2051-Q3,Jan2025,QLD,113.96,70.38,108.37,77.88,114.46,76.46,113.33,1.1,160.92,215.9,306.1,426.4
FY2051-Q4,Jan2025,QLD,143.66,77.95,129.1,83.1,133.98,82.15,133.13,1.1,160.92,215.9,306.1,426.4
FY2052-Q1,Jan2025,QLD,105.39,44.11,97.42,53.47,105.21,52.39,104.32,1.1,161.18,215.52,299.03,395.41
FY2052-Q2,Jan2025,QLD,51.12,21.59,49.01,28.05,53.73,27.27,53.17,1.1,161.18,215.52,299.03,395.41
FY2052-Q3,Jan2025,QLD,114.24,68.7,108.77,75.57,114.31,74.82,113.71,1.1,161.18,215.52,299.03,395.41
FY2052-Q4,Jan2025,QLD,138.33,75.79,125.64,81.69,130.73,80.8,129.88,1.1,161.18,215.52,299.03,395.41
FY2053-Q1,Jan2025,QLD,99.72,41.96,94.63,52,102.59,50.73,101.52,1.1,163.91,221.63,310.6,404.89
FY2053-Q2,Jan2025,QLD,58.78,22.07,51.74,26.89,55.68,26.35,55.22,1.1,163.91,221.63,310.6,404.89
FY2053-Q3,Jan2025,QLD,117.98,68.76,111.64,75.8,117.55,74.57,116.6,1.1,163.91,221.63,310.6,404.89
FY2053-Q4,Jan2025,QLD,135.48,75.05,123.38,80.22,127.96,79.2,127.2,1.1,163.91,221.63,310.6,404.89
FY2054-Q1,Jan2025,QLD,107.65,45.3,100.17,56,108.52,54.58,107.39,1.1,164.21,221.96,313.39,442.59
FY2054-Q2,Jan2025,QLD,48.78,23.01,47.24,28.27,51.18,27.75,50.8,1.1,164.21,221.96,313.39,442.59
FY2054-Q3,Jan2025,QLD,115.35,66.83,108.33,74.05,114.36,72.66,113.25,1.1,164.21,221.96,313.39,442.59
FY2054-Q4,Jan2025,QLD,141.18,75.88,126.12,81.55,130.73,80.66,129.86,1.1,164.21,221.96,313.39,442.59
FY2055-Q1,Jan2025,QLD,99.69,42.37,93.91,52.33,101.8,51.11,100.77,1.1,162.63,211.67,277.86,369.59
FY2055-Q2,Jan2025,QLD,47.42,21.89,46.58,26.52,50.17,26.07,49.81,1.1,162.63,211.67,277.86,369.59
FY2055-Q3,Jan2025,QLD,120.39,68.7,110.19,75.97,116.34,74.56,115.2,1.1,162.63,211.67,277.86,369.59
FY2055-Q4,Jan2025,QLD,145.67,79.25,127.36,85.17,132.38,84.24,131.68,1.1,162.63,211.67,277.86,369.59
FY2056-Q1,Jan2025,QLD,100.28,41.72,96.43,51.83,104.79,50.62,103.89,1.1,160.76,216.71,305.57,428.12
FY2056-Q2,Jan2025,QLD,45.15,20.01,44.3,26.14,48.79,25.33,48.17,1.1,160.76,216.71,305.57,428.12
FY2056-Q3,Jan2025,QLD,117.91,65.37,110.15,71.5,115.45,70.86,115.01,1.1,160.76,216.71,305.57,428.12
FY2056-Q4,Jan2025,QLD,142.83,80.71,128.27,87.48,133.31,86.3,132.41,1.1,160.76,216.71,305.57,428.12
FY2057-Q1,Jan2025,QLD,106.54,45.56,98.52,56.38,106.59,54.88,105.43,1.1,164.94,224.21,314.25,443.97
FY2057-Q2,Jan2025,QLD,48.91,22.78,47.36,28.25,51.5,27.85,51.19,1.1,164.94,224.21,314.25,443.97
FY2057-Q3,Jan2025,QLD,115.25,66.7,107.57,73.69,113.29,72.5,112.39,1.1,164.94,224.21,314.25,443.97
FY2057-Q4,Jan2025,QLD,144.2,79.3,129.21,84.68,133.41,84,132.73,1.1,164.94,224.21,314.25,443.97
FY2058-Q1,Jan2025,QLD,102.37,45.64,93.64,56.76,101.34,55.47,100.34,1.1,160.13,217.23,306.93,439.49
FY2058-Q2,Jan2025,QLD,49.81,29.37,47.86,35.33,51.51,34.62,51.1,1.1,160.13,217.23,306.93,439.49
FY2058-Q3,Jan2025,QLD,111.19,65.63,103.29,72.55,108.88,71.25,107.89,1.1,160.13,217.23,306.93,439.49
FY2058-Q4,Jan2025,QLD,137.32,76.91,122.97,83.11,127.31,82.28,126.71,1.1,160.13,217.23,306.93,439.49
FY2059-Q1,Jan2025,QLD,93.94,39.64,86.44,50.35,93.82,49.29,92.99,1.1,161.15,213.39,285.46,390.62
FY2059-Q2,Jan2025,QLD,47.72,21.23,46.54,26.5,50.63,25.98,50.21,1.1,161.15,213.39,285.46,390.62
FY2059-Q3,Jan2025,QLD,117.52,67.74,107.03,74.66,112.68,73.46,111.75,1.1,161.15,213.39,285.46,390.62
FY2059-Q4,Jan2025,QLD,140.51,78.11,120.9,83.98,125.17,83.32,124.59,1.1,161.15,213.39,285.46,390.62
FY2060-Q1,Jan2025,QLD,95.18,39.83,87.21,50.1,94.86,48.66,93.89,1.1,160.22,221.23,304.98,424.8
FY2060-Q2,Jan2025,QLD,50.63,22.39,49.14,29.75,54.07,28.91,53.49,1.1,160.22,221.23,304.98,424.8
FY2060-Q3,Jan2025,QLD,115.4,66.57,109.38,72.42,113.76,71.68,113.25,1.1,160.22,221.23,304.98,424.8
FY2060-Q4,Jan2025,QLD,130.52,73.89,117.41,80.2,121.26,79.25,120.66,1.1,160.22,221.23,304.98,424.8
FY2025-Q1,Jan2025,SA,96.75,38.88,49.49,89.35,91.7,73.15,79.16,26.7,249.33,355.55,508.37,707.04
FY2025-Q2,Jan2025,SA,70.12,24.36,43.26,78.58,87.94,56.66,73.94,26.7,249.33,355.55,508.37,707.04
FY2025-Q3,Jan2025,SA,90.53,47.02,72.63,82.52,101.61,67.21,89.82,26.7,249.33,355.55,508.37,707.04
FY2025-Q4,Jan2025,SA,75.86,21.71,48.87,65.43,85.35,47.83,70.36,26.7,249.33,355.55,508.37,707.04
FY2026-Q1,Jan2025,SA,110.44,65.48,61.6,105.57,94.49,97.08,88.03,20.6,220.2,316.25,452.41,642.71
FY2026-Q2,Jan2025,SA,59.08,24.34,38.69,63.28,70.95,54.65,64.37,20.6,220.2,316.25,452.41,642.71
FY2026-Q3,Jan2025,SA,89.69,62.63,67.45,84.36,90.33,74.43,82.55,20.6,220.2,316.25,452.41,642.71
FY2026-Q4,Jan2025,SA,72.99,43.31,43.96,74.22,75.15,63.28,65.11,20.6,220.2,316.25,452.41,642.71
